UHRSWORK,RACE,SEX,RELATE,AGE,MARST,EDUC,INCWAGE,OCC
40,1,1,13,53,6,6,10000,3605
40,2,1,13,34,6,6,480,4220
40,2,2,13,34,6,7,4800,2300
40,2,1,13,28,6,7,11700,8800
34,2,2,12,18,6,6,2100,3603
10,1,1,12,22,2,7,12000,2350
25,1,2,12,18,6,6,3000,4150
35,2,1,13,57,6,11,26300,2310
15,1,2,12,21,6,7,1500,5860
40,1,1,13,35,4,6,20000,6260
30,2,2,12,19,6,6,1800,9620
40,1,1,12,44,6,6,3200,7810
30,2,2,13,19,6,6,10000,4720
25,1,2,12,22,6,7,600,4150
8,1,2,12,19,6,7,140,4720
40,2,1,12,19,6,6,2000,4020
40,1,2,12,18,6,6,1600,4110
35,1,2,12,20,6,7,3000,4600
20,2,2,12,22,6,7,6000,2722
48,1,1,12,24,6,6,20000,3870
9,1,1,12,19,6,6,2200,4130
20,1,1,13,39,4,3,1900,9620
20,1,1,13,42,4,11,10200,2360
28,2,1,12,20,6,6,16000,4720
12,2,2,12,18,6,6,9600,3930
28,2,1,12,21,6,7,3000,4720
50,1,2,12,28,3,7,2000,8225
40,2,1,12,18,6,6,8000,4420
60,1,1,13,36,4,6,27000,4220
35,1,2,13,37,3,10,2400,6230
40,1,1,1,57,1,6,52000,5860
40,2,2,1,26,6,6,49000,3602
35,1,1,3,24,6,10,10000,9645
25,1,2,1,28,6,10,19900,2350
36,1,2,1,57,1,10,46000,3300
50,1,1,1,41,1,8,94000,9030
55,1,1,1,45,1,6,92000,52
60,1,1,1,46,1,10,156000,4850
40,1,2,12,52,4,6,27000,3602
40,6,2,1,46,1,6,40000,8740
40,1,2,7,65,6,6,26700,4720
40,1,1,2,30,1,10,35000,4760
40,1,2,1,60,1,6,20000,4010
20,1,2,3,16,6,5,1500,3960
40,1,1,1,69,1,4,14000,9620
40,1,2,3,23,6,8,16000,3421
20,1,2,2,25,1,7,3000,4700
40,1,1,1,36,1,11,175000,4920
50,1,2,2,55,1,6,40000,9130
40,1,2,1,65,1,6,36000,5820
40,1,2,1,54,4,8,12000,3255
24,2,1,1,60,2,10,500,4950
48,1,1,1,70,4,6,21800,8740
43,2,1,1,52,1,8,80000,7040
40,1,2,1,53,1,11,35000,5860
40,2,2,2,45,1,10,32600,5740
44,1,1,2,52,1,8,120000,10
62,1,1,1,52,1,11,95000,1108
48,1,1,3,21,6,6,30000,7210
40,1,2,1,46,1,8,25800,5740
40,1,2,1,26,6,10,70000,2145
15,1,2,1,56,4,6,1200,3602
30,1,2,2,53,1,11,12000,1610
40,1,1,1,29,1,7,30000,735
55,1,2,11,28,6,7,20000,600
50,1,2,2,45,1,7,45000,5120
40,6,2,2,37,1,8,59000,3322
24,2,2,1,60,2,11,9000,3603
45,1,1,1,24,6,6,18000,4700
20,1,2,3,20,6,7,5000,4720
20,1,2,1,25,6,11,19000,2205
60,1,1,1,54,1,6,75000,9130
30,1,2,1,26,1,8,25000,3645
40,1,1,2,61,1,11,85000,1760
60,1,1,3,41,6,7,82000,9130
40,1,2,2,39,1,10,8200,2310
50,1,1,1,55,4,10,83000,5740
45,2,2,1,33,6,6,26000,7700
40,1,1,3,35,6,6,31600,9620
43,1,2,1,60,1,5,26800,440
30,1,1,1,65,1,7,15000,9130
40,1,1,1,62,2,10,46500,2014
53,1,1,2,27,1,6,39000,7220
45,1,2,1,54,1,11,391000,3090
